Gene Symbol,Year,PubMed ID,Cited In
SHANK3,2005,16059935,46
SHANK3,2006,17173049,682
SHANK3,2007,17999366,291
SHANK3,2007,17626859,45
SHANK3,2008,18957284,50
SHANK3,2008,18728070,54
SHANK3,2008,18615476,142
SHANK3,2008,18563458,125
SHANK3,2008,18421986,1
SHANK3,2008,18419324,81
SHANK3,2008,18252227,832
SHANK3,2008,18198104,2
SHANK3,2009,19718887,5
SHANK3,2009,19566951,15
SHANK3,2009,19545994,309
SHANK3,2009,19432386,52
SHANK3,2009,19384346,33
SHANK3,2009,19348707,61
SHANK3,2010,21062623,20
SHANK3,2010,20541044,12
SHANK3,2010,20308993,31
SHANK3,2010,20186804,57
SHANK3,2011,22093425,2
SHANK3,2011,21984749,61
SHANK3,2011,21751912,28
SHANK3,2011,21606927,153
SHANK3,2011,21575668,12
SHANK3,2011,21565394,58
SHANK3,2011,21423165,328
SHANK3,2011,21378602,28
SHANK3,2012,23225497,29
SHANK3,2012,22892527,111
SHANK3,2012,22738016,58
SHANK3,2012,22699619,287
SHANK3,2012,22573675,190
SHANK3,2012,22558107,71
SHANK3,2013,24298145,35
SHANK3,2013,23897824,30
SHANK3,2013,23583105,232
SHANK3,2014,25131214,32
SHANK3,2014,25088363,124
SHANK3,2014,24613350,186
SHANK3,2015,26687841,136
SHANK3,2015,26617779,5
SHANK3,2015,26606849,18
SHANK3,2015,26602248,16
SHANK3,2015,26559786,75
SHANK3,2015,26511836,5
SHANK3,2015,26489495,7
SHANK3,2015,26306707,30
SHANK3,2015,26158416,61
SHANK3,2015,26052099,18
SHANK3,2015,26036957,40
SHANK3,2015,26027926,133
SHANK3,2015,25894671,31
SHANK3,2015,25882707,28
SHANK3,2015,25721186,11
SHANK3,2015,25646853,25
SHANK3,2016,28002633,5
SHANK3,2016,27876814,18
SHANK3,2016,27856360,5
SHANK3,2016,27846046,11
SHANK3,2016,27795858,16
SHANK3,2016,27790361,26
SHANK3,2016,27785461,16
SHANK3,2016,27692350,6
SHANK3,2016,27562614,6
SHANK3,2016,27492494,45
SHANK3,2016,27397513,2
SHANK3,2016,27333044,39
SHANK3,2016,27300699,13
SHANK3,2016,27293187,132
SHANK3,2016,27273769,59
SHANK3,2016,27271042,5
SHANK3,2016,27189882,28
SHANK3,2016,27161151,135
SHANK3,2016,27021819,28
SHANK3,2016,26966193,138
SHANK3,2016,26929812,15
SHANK3,2016,26928064,100
SHANK3,2016,26914612,16
SHANK3,2016,26886798,167
SHANK3,2016,26847545,61
SHANK3,2016,26819149,94
SHANK3,2016,26733386,33
SHANK3,2017,29126394,13
SHANK3,2017,29121345,21
SHANK3,2017,28963042,13
SHANK3,2017,28948968,45
SHANK3,2017,28753255,22
SHANK3,2017,28741620,37
SHANK3,2017,28638591,62
SHANK3,2017,28584888,133
SHANK3,2017,28551752,10
SHANK3,2017,28486223,5
SHANK3,2017,28414301,63
SHANK3,2017,28414299,2
SHANK3,2017,28374752,12
SHANK3,2017,28281572,27
SHANK3,2017,28179641,219
SHANK3,2017,28130356,40
SHANK3,2018,30522820,176
SHANK3,2018,30329048,22
SHANK3,2018,30317697,7
SHANK3,2018,30282698,18
SHANK3,2018,30180205,9
SHANK3,2018,30134148,6
SHANK3,2018,30089781,12
SHANK3,2018,30064494,3
SHANK3,2018,29988084,37
SHANK3,2018,29939863,5
SHANK3,2018,29787855,49
SHANK3,2018,29760409,24
SHANK3,2018,29700290,39
SHANK3,2018,29619162,44
SHANK3,2018,29531362,68
SHANK3,2018,29507711,13
SHANK3,2018,29423971,2
SHANK3,2018,29408620,7
SHANK3,2018,29377611,42
SHANK3,2018,29339533,9
SHANK3,2019,31874107,32
SHANK3,2019,31807945,10
SHANK3,2019,31788990,7
SHANK3,2019,31773410,4
SHANK3,2019,31758607,21
SHANK3,2019,31722214,15
SHANK3,2019,31696658,10
SHANK3,2019,31678916,4
SHANK3,2019,31624228,3
SHANK3,2019,31604296,3
SHANK3,2019,31602784,3
SHANK3,2019,31465867,11
SHANK3,2019,31451607,3
SHANK3,2019,31398341,51
SHANK3,2019,31354805,2
SHANK3,2019,31332372,63
SHANK3,2019,31319798,13
SHANK3,2019,31254375,4
SHANK3,2019,31185809,20
SHANK3,2019,31110290,30
SHANK3,2019,31061091,36
SHANK3,2019,31059729,7
SHANK3,2019,31052177,17
SHANK3,2019,30911366,3
SHANK3,2019,30868621,8
SHANK3,2019,30853900,15
SHANK3,2019,30797034,11
SHANK3,2019,30763456,12
SHANK3,2019,30733854,21
SHANK3,2019,30659288,27
SHANK3,2019,30643170,25
SHANK3,2019,30629339,5
SHANK3,2019,30610205,27
SHANK3,2020,33276083,4
SHANK3,2020,33262327,7
SHANK3,2020,33256793,8
SHANK3,2020,32895524,24
SHANK3,2020,32853769,8
SHANK3,2020,32807217,9
SHANK3,2020,32769989,3
SHANK3,2020,32758248,10
SHANK3,2020,32619581,9
SHANK3,2020,32560742,14
SHANK3,2020,32546186,2
SHANK3,2020,32522805,12
SHANK3,2020,32519210,2
SHANK3,2020,32464501,28
SHANK3,2020,32445272,1
SHANK3,2020,32327468,9
SHANK3,2020,32199104,35
SHANK3,2020,32161363,6
SHANK3,2020,32126198,24
SHANK3,2020,32123378,34
SHANK3,2020,32107139,5
SHANK3,2020,32024781,36
SHANK3,2020,32015180,5
SHANK3,2020,31990460,2
SHANK3,2020,31891524,3
SHANK3,2021,34948243,1
SHANK3,2021,34921227,1
SHANK3,2021,34784886,10
SHANK3,2021,34782467,3
SHANK3,2021,34741005,3
SHANK3,2021,34740315,2
SHANK3,2021,34703011,3
SHANK3,2021,34645786,5
SHANK3,2021,34593045,2
SHANK3,2021,34559195,6
SHANK3,2021,34555490,1
SHANK3,2021,34535637,2
SHANK3,2021,34519505,2
SHANK3,2021,34509290,1
SHANK3,2021,34478569,1
SHANK3,2021,34453960,1
SHANK3,2021,34363551,1
SHANK3,2021,34347040,2
SHANK3,2021,34331007,5
SHANK3,2021,34313403,2
SHANK3,2021,34303785,2
SHANK3,2021,34253921,11
SHANK3,2021,34246244,7
SHANK3,2021,34206779,7
SHANK3,2021,33945465,6
SHANK3,2021,33910615,2
SHANK3,2021,33669083,3
SHANK3,2021,33577886,3
SHANK3,2021,33568460,3
SHANK3,2021,33542189,7
SHANK3,2021,33491217,10
SHANK3,2021,33402706,9
SHANK3,2021,33388374,4
SHANK3,2022,35982159,3
SHANK3,2022,35846755,2
SHANK3,2022,35773312,1
SHANK3,2022,35726031,1
SHANK3,2022,35682762,2
SHANK3,2022,35682760,1
SHANK3,2022,35675770,3
SHANK3,2022,35562389,2
SHANK3,2022,35471151,1
SHANK3,2022,35445787,1
SHANK3,2022,35444258,1
SHANK3,2022,35418620,1
SHANK3,2022,35328058,1
SHANK3,2022,35219402,1
SHANK3,2022,35115700,2
SHANK3,2022,35114017,1
SHANK3,2022,35093163,1
SHANK3,2022,35022531,2
MECP2,2000,11007980,52
MECP2,2000,11106359,46
MECP2,2001,11464249,2
MECP2,2002,12384770,26
MECP2,2002,12027529,5
MECP2,2003,14593168,316
MECP2,2003,12770674,83
MECP2,2003,12707946,23
MECP2,2003,12555243,12
MECP2,2004,15615769,168
MECP2,2004,15362175,16
MECP2,2004,15211631,59
MECP2,2004,15121991,328
MECP2,2004,14986829,16
MECP2,2005,16225826,9
MECP2,2005,15967618,33
MECP2,2005,15900222,10
MECP2,2005,15796126,97
MECP2,2005,15689352,48
MECP2,2006,17171659,12
MECP2,2006,16512349,6
MECP2,2007,17965627,21
MECP2,2007,17965589,50
MECP2,2007,17684768,24
MECP2,2007,17486179,154
MECP2,2007,17427193,23
MECP2,2007,17413451,8
MECP2,2008,19096215,34
MECP2,2008,19000991,32
MECP2,2008,18985105,33
MECP2,2008,18511680,16
MECP2,2008,18361425,18
MECP2,2008,18302128,4
MECP2,2008,18207372,9
MECP2,2009,20035514,142
MECP2,2009,19921286,32
MECP2,2009,19844740,62
MECP2,2009,19774457,49
MECP2,2009,19464363,30
MECP2,2009,19195802,18
MECP2,2009,19174478,14
MECP2,2009,19160128,3
MECP2,2009,19138667,18
MECP2,2009,19132145,55
MECP2,2009,19125863,34
MECP2,2010,21068835,510
MECP2,2010,20473347,45
MECP2,2010,20425814,119
MECP2,2010,20425298,73
MECP2,2010,20098342,9
MECP2,2011,22138506,5
MECP2,2011,22030357,22
MECP2,2011,21935445,30
MECP2,2011,21840925,50
MECP2,2011,21825235,57
MECP2,2011,21600714,3
MECP2,2011,21531908,3
MECP2,2012,23226951,52
MECP2,2012,23169761,22
MECP2,2012,23055267,42
MECP2,2012,22909152,11
MECP2,2012,22406388,14
MECP2,2013,24150225,23
MECP2,2013,24040966,9
MECP2,2013,23763370,26
MECP2,2013,23591336,1
MECP2,2014,25404090,24
MECP2,2014,25385366,110
MECP2,2014,25290267,33
MECP2,2014,25199916,128
MECP2,2014,25088363,124
MECP2,2014,24906019,63
MECP2,2014,24776741,181
MECP2,2015,26606849,18
MECP2,2015,26471937,21
MECP2,2015,26228846,2
MECP2,2015,26181491,19
MECP2,2015,26158416,59
MECP2,2015,25899208,9
MECP2,2015,25861995,16
MECP2,2015,25650246,143
MECP2,2016,27824329,138
MECP2,2016,27623092,5
MECP2,2016,27293187,132
MECP2,2016,27241247,1
MECP2,2016,27150399,68
MECP2,2016,26952805,10
MECP2,2016,26936821,32
MECP2,2016,26843422,18
MECP2,2016,26819024,3
MECP2,2016,26808898,122
MECP2,2016,26754451,7
MECP2,2016,26733386,33
MECP2,2016,30226965,1
MECP2,2017,29274743,29
MECP2,2017,29271092,13
MECP2,2017,29141583,5
MECP2,2017,28795659,18
MECP2,2017,28785396,14
MECP2,2017,28584888,133
MECP2,2017,28534217,9
MECP2,2017,28258509,14
MECP2,2017,28250423,5
MECP2,2017,28230711,1
MECP2,2017,28229923,19
MECP2,2017,28220356,32
MECP2,2018,30560934,13
MECP2,2018,30312858,6
MECP2,2018,30105297,9
MECP2,2018,29984470,6
MECP2,2018,29967385,17
MECP2,2019,31807945,10
MECP2,2019,31758607,6
MECP2,2019,31604296,3
MECP2,2019,31398341,51
MECP2,2019,31344460,7
MECP2,2019,31332003,16
MECP2,2019,31185809,20
MECP2,2019,31112129,45
MECP2,2019,31059729,7
MECP2,2020,33373327,6
MECP2,2020,33168618,6
MECP2,2020,32875540,1
MECP2,2020,32722525,6
MECP2,2020,32539526,10
MECP2,2020,32503625,2
MECP2,2020,32469098,9
MECP2,2020,32437834,3
MECP2,2020,32269107,10
MECP2,2020,32114799,2
MECP2,2020,32015540,39
MECP2,2020,32015323,16
MECP2,2021,34827633,2
MECP2,2021,34021030,4
MECP2,2022,36350923,2
NRXN1,2007,18084303,56
NRXN1,2007,18057082,63
NRXN1,2007,17989066,175
NRXN1,2008,18419324,81
NRXN1,2008,18252227,832
NRXN1,2008,18179900,279
NRXN1,2009,20010541,9
NRXN1,2009,19822762,225
NRXN1,2009,19818200,16
NRXN1,2009,19675094,99
NRXN1,2009,19557195,201
NRXN1,2009,19545994,309
NRXN1,2009,19404257,675
NRXN1,2009,19348707,61
