Pathway identifier,Pathway name,Entities found,Entities total,Entities ratio,Entities pValue,Entities FDR,Reactions found,Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-MTU-870392,"Mycobacterium tuberculosis biological processes",1,122,1.0,0.0,0.0,1,44,1.0,1773,Mycobacterium tuberculosis,"57705","","R-MTU-879298"
R-HSA-112316,"Neuronal System",70,490,0.03227293683725219,2.4578117319151715E-12,4.023437805145136E-9,131,221,0.015698252592697828,9606,Homo sapiens,"6197;6196;9228;11141;1142;22871;2900;1139;111;552;3359;553;476;2742;58512;1012;3751;5578;3752;438;5579;1739;4128;6505;2901;5595;18;8500;3772;2557;321;563;1740;9229;2915;3766;26280;64130;9568;6531;7102;6532;2890;23426;2567;774;814;815;3778;26050;6804;9256;3790;5575;9456;22829;1007;2899;4916;2898;783;57497;547;6854;3785;109;10089;6616;170572;3746;50944;43","","R-HSA-9714580;R-HSA-888589;R-HSA-379393;R-HSA-6794338;R-HSA-379395;R-HSA-6794336;R-HSA-6794351;R-HSA-6794349;R-HSA-392206;R-HSA-6794347;R-HSA-6794346;R-HSA-6794345;R-HSA-210444;R-HSA-9610653;R-HSA-6794344;R-HSA-9610627;R-HSA-9619843;R-HSA-6794357;R-HSA-1013020;R-HSA-438037;R-HSA-6794356;R-HSA-975389;R-HSA-6794355;R-HSA-6794354;R-HSA-6794353;R-HSA-6794352;R-HSA-1013013;R-HSA-1013012;R-HSA-372505;R-HSA-372519;R-HSA-432164;R-HSA-432162;R-HSA-9619127;R-HSA-9619125;R-HSA-8951727;R-HSA-111913;R-HSA-111912;R-HSA-432172;R-HSA-111915;R-HSA-5336443;R-HSA-372529;R-HSA-111925;R-HSA-9610408;R-HSA-372542;R-HSA-9617326;R-HSA-9617583;R-HSA-416320;R-HSA-9673173;R-HSA-9649108;R-HSA-629595;R-HSA-629596;R-HSA-629599;R-HSA-420688;R-HSA-399711;R-HSA-629588;R-HSA-8849882;R-HSA-8849881;R-HSA-442724;R-HSA-442725;R-HSA-8849891;R-HSA-399712;R-HSA-6797568;R-HSA-420975;R-HSA-442732;R-HSA-9619449;R-HSA-8849900;R-HSA-444008;R-HSA-420980;R-HSA-9619430;R-HSA-8849906;R-HSA-442739;R-HSA-374899;R-HSA-420977;R-HSA-374909;R-HSA-416639;R-HSA-916855;R-HSA-1299304;R-HSA-9714415;R-HSA-141186;R-HSA-9634834;R-HSA-9611030;R-HSA-421007;R-HSA-6797803;R-HSA-442760;R-HSA-374922;R-HSA-6797554;R-HSA-6797810;R-HSA-112282;R-HSA-380574;R-HSA-9648949;R-HSA-9612085;R-HSA-170666;R-HSA-9618750;R-HSA-170671;R-HSA-380586;R-HSA-170674;R-HSA-445367;R-HSA-9029434;R-HSA-1296037;R-HSA-9620004;R-HSA-170686;R-HSA-1296045;R-HSA-380869;R-HSA-975311;R-HSA-9648983;R-HSA-8856398;R-HSA-9677917;R-HSA-451283;R-HSA-6798257;R-HSA-388824;R-HSA-416985;R-HSA-380901;R-HSA-975340;R-HSA-500708;R-HSA-210404;R-HSA-451310;R-HSA-451311;R-HSA-500717;R-HSA-451309;R-HSA-1296127;R-HSA-380905;R-HSA-9610879;R-HSA-379382;R-HSA-210420;R-HSA-210426;R-HSA-9611368;R-HSA-9614185;R-HSA-622325;R-HSA-210430;R-HSA-917744;R-HSA-622326"
R-HSA-112315,"Transmission across Chemical Synapses",46,344,0.022656918922479088,1.0285318685632205E-7,8.413390684847144E-5,102,167,0.01186248046597528,9606,Homo sapiens,"6197;6196;64130;9568;6531;7102;6532;1142;2890;23426;2900;1139;111;476;3359;2567;774;2742;1012;438;5578;5579;814;1739;4128;815;6505;2901;6804;9256;5595;5575;18;8500;3772;2899;1007;2898;2557;783;1740;6854;109;3766;6616;170572;43","","R-HSA-9714580;R-HSA-888589;R-HSA-379393;R-HSA-379395;R-HSA-392206;R-HSA-210444;R-HSA-9610653;R-HSA-9610627;R-HSA-9619843;R-HSA-1013020;R-HSA-438037;R-HSA-975389;R-HSA-1013013;R-HSA-1013012;R-HSA-372505;R-HSA-372519;R-HSA-432164;R-HSA-432162;R-HSA-9619127;R-HSA-9619125;R-HSA-8951727;R-HSA-111913;R-HSA-111912;R-HSA-432172;R-HSA-111915;R-HSA-5336443;R-HSA-372529;R-HSA-111925;R-HSA-9610408;R-HSA-372542;R-HSA-9617326;R-HSA-9617583;R-HSA-416320;R-HSA-9673173;R-HSA-9649108;R-HSA-629595;R-HSA-629596;R-HSA-629599;R-HSA-420688;R-HSA-399711;R-HSA-629588;R-HSA-442724;R-HSA-442725;R-HSA-399712;R-HSA-420975;R-HSA-442732;R-HSA-9619449;R-HSA-444008;R-HSA-420980;R-HSA-9619430;R-HSA-442739;R-HSA-374899;R-HSA-420977;R-HSA-374909;R-HSA-416639;R-HSA-916855;R-HSA-9714415;R-HSA-141186;R-HSA-9634834;R-HSA-9611030;R-HSA-421007;R-HSA-442760;R-HSA-374922;R-HSA-112282;R-HSA-380574;R-HSA-9648949;R-HSA-9612085;R-HSA-170666;R-HSA-9618750;R-HSA-170671;R-HSA-380586;R-HSA-170674;R-HSA-445367;R-HSA-9029434;R-HSA-9620004;R-HSA-170686;R-HSA-380869;R-HSA-975311;R-HSA-9648983;R-HSA-8856398;R-HSA-9677917;R-HSA-451283;R-HSA-416985;R-HSA-380901;R-HSA-975340;R-HSA-500708;R-HSA-210404;R-HSA-451310;R-HSA-451311;R-HSA-500717;R-HSA-451309;R-HSA-380905;R-HSA-9610879;R-HSA-379382;R-HSA-210420;R-HSA-210426;R-HSA-9611368;R-HSA-9614185;R-HSA-622325;R-HSA-210430;R-HSA-917744;R-HSA-622326"
R-HSA-6794362,"Protein-protein interactions at synapses",20,93,0.0061252716854376605,5.541606951098288E-7,3.020175788348567E-4,25,33,0.002344082966330445,9606,Homo sapiens,"64130;9228;9456;11141;8500;22829;22871;2890;4916;321;57497;1740;58512;9229;1739;2915;26050;6804;50944;26280","","R-HSA-6794338;R-HSA-6794336;R-HSA-6794351;R-HSA-6794349;R-HSA-6794347;R-HSA-6797803;R-HSA-6794346;R-HSA-6794345;R-HSA-6794344;R-HSA-6794357;R-HSA-6794356;R-HSA-6794355;R-HSA-6794354;R-HSA-6797554;R-HSA-6797810;R-HSA-6794353;R-HSA-6798257;R-HSA-6794352;R-HSA-8849882;R-HSA-388824;R-HSA-8849881;R-HSA-8849891;R-HSA-6797568;R-HSA-8849900;R-HSA-8849906"
R-HSA-426496,"Post-transcriptional silencing by small RNAs",6,7,4.610419548178884E-4,3.5210433245724815E-6,0.001440106719750145,3,3,2.1309845148458588E-4,9606,Homo sapiens,"192669;23112;26523;27161;192670;57690","","R-HSA-426522;R-HSA-426520;R-HSA-426489"
R-HSA-112314,"Neurotransmitter receptors and postsynaptic signal transmission",31,232,0.015280247645392873,1.236599510201497E-5,0.004043680398358895,72,110,0.007813609887768148,9606,Homo sapiens,"6197;6196;64130;9568;7102;1142;2890;23426;2900;1139;111;476;3359;2567;2742;438;5578;5579;814;1739;815;2901;5595;5575;3772;2899;2898;2557;1740;109;3766;170572","","R-HSA-9611030;R-HSA-421007;R-HSA-392206;R-HSA-442760;R-HSA-9610653;R-HSA-9610627;R-HSA-9619843;R-HSA-1013020;R-HSA-438037;R-HSA-975389;R-HSA-1013013;R-HSA-1013012;R-HSA-112282;R-HSA-432164;R-HSA-432162;R-HSA-9619127;R-HSA-9648949;R-HSA-9612085;R-HSA-9619125;R-HSA-8951727;R-HSA-170666;R-HSA-111913;R-HSA-111912;R-HSA-432172;R-HSA-111915;R-HSA-9618750;R-HSA-170671;R-HSA-170674;R-HSA-445367;R-HSA-9029434;R-HSA-111925;R-HSA-9620004;R-HSA-9610408;R-HSA-170686;R-HSA-9617326;R-HSA-9617583;R-HSA-975311;R-HSA-9648983;R-HSA-416320;R-HSA-9673173;R-HSA-9649108;R-HSA-8856398;R-HSA-629595;R-HSA-629596;R-HSA-451283;R-HSA-629599;R-HSA-420688;R-HSA-399711;R-HSA-629588;R-HSA-416985;R-HSA-975340;R-HSA-442724;R-HSA-442725;R-HSA-500708;R-HSA-399712;R-HSA-451310;R-HSA-451311;R-HSA-420975;R-HSA-442732;R-HSA-500717;R-HSA-9619449;R-HSA-451309;R-HSA-9610879;R-HSA-420980;R-HSA-9619430;R-HSA-442739;R-HSA-420977;R-HSA-416639;R-HSA-9611368;R-HSA-9614185;R-HSA-622325;R-HSA-622326"
R-HSA-373760,"L1CAM interactions",21,130,0.008562207732332214,2.2343937120861135E-5,0.006077550896874229,14,54,0.003835772126722546,9606,Homo sapiens,"6197;6196;3690;5595;6335;2260;26470;1524;585;1523;284217;2048;2444;27255;6711;3785;4897;1739;8828;6329;3912","","R-HSA-443782;R-HSA-376134;R-HSA-443778;R-HSA-109860;R-HSA-373730;R-HSA-437230;R-HSA-392751;R-HSA-549060;R-HSA-374696;R-HSA-445067;R-HSA-373739;R-HSA-443817;R-HSA-447030;R-HSA-374686"
R-HSA-9768778,"Regulation of NPAS4 mRNA translation",6,11,7.244945004281104E-4,4.3902774387927224E-5,0.010229346432387043,2,2,1.4206563432305724E-4,9606,Homo sapiens,"192669;23112;26523;27161;192670;57690","","R-HSA-9768788;R-HSA-9768782"
R-HSA-422475,"Axon guidance",57,585,0.03852993479549496,5.1811314998317926E-5,0.010569508259656857,181,298,0.02116777951413553,9606,Homo sapiens,"6197;6196;4650;5062;26470;284217;5578;1739;1977;3912;9037;3690;5595;23332;2041;1501;27255;6711;5788;4897;9901;8218;1746;5364;6134;6453;6335;7225;116986;2055;6092;491;26019;4628;2444;2048;1630;776;1793;8828;51107;6329;4627;6383;91584;8128;1809;2260;1524;585;1523;783;8912;8913;3785;55558;8911;4756","","R-HSA-525833;R-HSA-593672;R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-419087;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-3928617;R-HSA-593690;R-HSA-3928616;R-HSA-3928623;R-HSA-451345;R-HSA-3928610;R-HSA-3928608;R-HSA-622357;R-HSA-593685;R-HSA-3928615;R-HSA-3928614;R-HSA-3928612;R-HSA-451366;R-HSA-3928602;R-HSA-3928601;R-HSA-3928600;R-HSA-400677;R-HSA-418850;R-HSA-3928607;R-HSA-416546;R-HSA-109860;R-HSA-3928604;R-HSA-3928595;R-HSA-418863;R-HSA-3928594;R-HSA-416559;R-HSA-392751;R-HSA-3928592;R-HSA-418858;R-HSA-400682;R-HSA-418859;R-HSA-3928598;R-HSA-418856;R-HSA-3928597;R-HSA-447030;R-HSA-422454;R-HSA-418868;R-HSA-3928584;R-HSA-418866;R-HSA-3928591;R-HSA-416562;R-HSA-418865;R-HSA-3928588;R-HSA-399934;R-HSA-419646;R-HSA-3928578;R-HSA-399935;R-HSA-3928577;R-HSA-399933;R-HSA-418874;R-HSA-3928583;R-HSA-399930;R-HSA-399931;R-HSA-418872;R-HSA-399928;R-HSA-622390;R-HSA-3928580;R-HSA-399942;R-HSA-8854981;R-HSA-376134;R-HSA-399941;R-HSA-8855747;R-HSA-399939;R-HSA-399951;R-HSA-416588;R-HSA-399946;R-HSA-399947;R-HSA-399944;R-HSA-8985799;R-HSA-9010648;R-HSA-428885;R-HSA-8855508;R-HSA-416594;R-HSA-376145;R-HSA-399952;R-HSA-9010641;R-HSA-9010643;R-HSA-9010898;R-HSA-9010645;R-HSA-8985812;R-HSA-9010646;R-HSA-8853734;R-HSA-198756;R-HSA-375149;R-HSA-3928657;R-HSA-3928656;R-HSA-375144;R-HSA-8853737;R-HSA-3928660;R-HSA-3928651;R-HSA-9010681;R-HSA-392053;R-HSA-3928648;R-HSA-8985594;R-HSA-392054;R-HSA-3928654;R-HSA-392051;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-419197;R-HSA-8853755;R-HSA-3928646;R-HSA-8853753;R-HSA-3928645;R-HSA-8985591;R-HSA-3928644;R-HSA-443782;R-HSA-374663;R-HSA-443778;R-HSA-8853762;R-HSA-8853774;R-HSA-8855564;R-HSA-374665;R-HSA-445067;R-HSA-374667;R-HSA-9011224;R-HSA-9014812;R-HSA-374686;R-HSA-9011241;R-HSA-4093342;R-HSA-374692;R-HSA-374689;R-HSA-4093339;R-HSA-8853793;R-HSA-4093336;R-HSA-8853792;R-HSA-374701;R-HSA-4093332;R-HSA-4093330;R-HSA-374696;R-HSA-4093331;R-HSA-8853801;R-HSA-4093329;R-HSA-443817;R-HSA-4093327;R-HSA-391868;R-HSA-391871;R-HSA-9014834;R-HSA-8871227;R-HSA-416698;R-HSA-391865;R-HSA-391866;R-HSA-8855617;R-HSA-373711;R-HSA-549060;R-HSA-373707;R-HSA-373716;R-HSA-9010523;R-HSA-373713;R-HSA-416723;R-HSA-373715;R-HSA-428510;R-HSA-9014610;R-HSA-373720;R-HSA-419033;R-HSA-373730;R-HSA-437230;R-HSA-8855915;R-HSA-373739;R-HSA-373750;R-HSA-428533;R-HSA-8854899;R-HSA-428531;R-HSA-9014652;R-HSA-8854897;R-HSA-373746;R-HSA-8854908;R-HSA-199935;R-HSA-8854905"
R-HSA-9022692,"Regulation of MECP2 expression and activity",10,39,0.002568662319699664,9.100670836148517E-5,0.016472214213428815,6,14,9.944594402614007E-4,9606,Homo sapiens,"6907;9611;192669;23112;26523;814;815;27161;192670;57690","","R-HSA-8986937;R-HSA-8986939;R-HSA-9021183;R-HSA-9021182;R-HSA-9006992;R-HSA-9615501"
