Pathway identifier,Pathway name,Entities found,Entities total,Entities ratio,Entities pValue,Entities FDR,Reactions found,Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-MTU-870392,"Mycobacterium tuberculosis biological processes",1,122,1.0,0.0,0.0,1,44,1.0,1773,Mycobacterium tuberculosis,"57705","","R-MTU-879298"
R-HSA-112316,"Neuronal System",108,490,0.03227293683725219,1.1102230246251565E-16,2.0816681711721685E-13,157,221,0.015698252592697828,9606,Homo sapiens,"6197;22999;6196;9228;22871;473;57502;111;3359;476;3751;3752;1739;6505;3772;18;2562;2561;2557;1742;1740;26960;9229;3766;26280;6531;7102;6532;9369;3265;23426;373;2567;773;774;54413;777;814;815;3778;6804;6529;9256;9378;3790;5575;9379;1007;782;4916;783;57497;546;547;3785;6812;3786;10089;170572;43;8573;11141;1142;2900;1139;552;553;2742;58512;1012;5578;438;5579;4128;2904;2903;2902;2901;7915;5595;8500;321;563;57555;4137;2915;23229;64130;9568;2891;2770;2890;26050;9456;22829;1175;22941;2899;2898;55799;6854;6853;109;6616;3745;3746;50944;3747","","R-HSA-888589;R-HSA-9714580;R-HSA-379393;R-HSA-6794338;R-HSA-379395;R-HSA-6794336;R-HSA-6794351;R-HSA-6794349;R-HSA-392206;R-HSA-6794348;R-HSA-6794347;R-HSA-6794346;R-HSA-6794345;R-HSA-9610653;R-HSA-6794344;R-HSA-210444;R-HSA-9610627;R-HSA-9619843;R-HSA-6794357;R-HSA-438037;R-HSA-6794356;R-HSA-1013020;R-HSA-975389;R-HSA-6794355;R-HSA-6794354;R-HSA-6794353;R-HSA-6794352;R-HSA-1013013;R-HSA-1013012;R-HSA-372505;R-HSA-432164;R-HSA-372519;R-HSA-432162;R-HSA-9619127;R-HSA-9619125;R-HSA-8951727;R-HSA-111913;R-HSA-111912;R-HSA-5336443;R-HSA-432172;R-HSA-111915;R-HSA-372529;R-HSA-111925;R-HSA-9610408;R-HSA-372542;R-HSA-9617326;R-HSA-9617583;R-HSA-9610195;R-HSA-416320;R-HSA-9673173;R-HSA-9649108;R-HSA-8849878;R-HSA-629595;R-HSA-629596;R-HSA-629599;R-HSA-420688;R-HSA-399711;R-HSA-629588;R-HSA-8849882;R-HSA-8849881;R-HSA-444007;R-HSA-442724;R-HSA-442725;R-HSA-8849891;R-HSA-399712;R-HSA-6797568;R-HSA-420975;R-HSA-442732;R-HSA-9619449;R-HSA-8849900;R-HSA-9610750;R-HSA-444008;R-HSA-420980;R-HSA-9619430;R-HSA-8849906;R-HSA-442739;R-HSA-374899;R-HSA-420977;R-HSA-374909;R-HSA-416639;R-HSA-916855;R-HSA-1299304;R-HSA-9714415;R-HSA-9609746;R-HSA-141186;R-HSA-9609747;R-HSA-9634834;R-HSA-9609744;R-HSA-9611030;R-HSA-421007;R-HSA-9610270;R-HSA-6797803;R-HSA-442760;R-HSA-374922;R-HSA-9609728;R-HSA-6797554;R-HSA-6797810;R-HSA-6797553;R-HSA-9609738;R-HSA-9609739;R-HSA-380574;R-HSA-9609737;R-HSA-112282;R-HSA-9609742;R-HSA-9609743;R-HSA-9609740;R-HSA-9609741;R-HSA-9610802;R-HSA-9648949;R-HSA-9612085;R-HSA-170666;R-HSA-9619515;R-HSA-9618750;R-HSA-170671;R-HSA-380586;R-HSA-170674;R-HSA-445367;R-HSA-9029434;R-HSA-1296037;R-HSA-9620004;R-HSA-170686;R-HSA-1296045;R-HSA-380869;R-HSA-975311;R-HSA-9648983;R-HSA-9619542;R-HSA-9610327;R-HSA-8856398;R-HSA-9677917;R-HSA-70609;R-HSA-451283;R-HSA-6798257;R-HSA-388824;R-HSA-416985;R-HSA-380901;R-HSA-975340;R-HSA-500708;R-HSA-210404;R-HSA-451310;R-HSA-888548;R-HSA-451311;R-HSA-9668218;R-HSA-500717;R-HSA-451309;R-HSA-1296127;R-HSA-380905;R-HSA-9610879;R-HSA-6797974;R-HSA-379382;R-HSA-210420;R-HSA-210426;R-HSA-9611368;R-HSA-9614185;R-HSA-622325;R-HSA-210430;R-HSA-917744;R-HSA-622326"
R-HSA-6794362,"Protein-protein interactions at synapses",36,93,0.0061252716854376605,4.529709940470639E-14,4.2443382142209884E-11,29,33,0.002344082966330445,9606,Homo sapiens,"64130;8573;9228;9369;11141;2890;22871;57502;54413;58512;1739;2904;2903;2902;26050;6804;9378;9456;9379;8500;22829;22941;4916;321;1742;57497;1740;57555;6812;9229;2915;26280;50944","","R-HSA-6794338;R-HSA-6794336;R-HSA-6794351;R-HSA-6794349;R-HSA-6794348;R-HSA-6794347;R-HSA-6797803;R-HSA-6794346;R-HSA-6794345;R-HSA-6794344;R-HSA-8849878;R-HSA-6794357;R-HSA-6794356;R-HSA-6794355;R-HSA-6794354;R-HSA-6797554;R-HSA-6797810;R-HSA-6797553;R-HSA-6794353;R-HSA-6798257;R-HSA-6794352;R-HSA-8849882;R-HSA-388824;R-HSA-8849881;R-HSA-8849891;R-HSA-6797568;R-HSA-8849900;R-HSA-6797974;R-HSA-8849906"
R-HSA-6794361,"Neurexins and neuroligins",28,60,0.003951788184153329,3.929079284148429E-13,2.455674552592768E-10,19,19,0.001349623526069044,9606,Homo sapiens,"64130;8573;9228;9369;22871;57502;54413;58512;2904;2903;2902;6804;9378;9456;9379;22829;22941;321;1742;1740;57555;6812;9229;2915;50944","","R-HSA-6794338;R-HSA-6797568;R-HSA-6794336;R-HSA-6794351;R-HSA-6794349;R-HSA-6794348;R-HSA-6794347;R-HSA-6794346;R-HSA-6794345;R-HSA-6794344;R-HSA-6797974;R-HSA-6794357;R-HSA-6794356;R-HSA-6794355;R-HSA-6794354;R-HSA-6797554;R-HSA-6797553;R-HSA-6794353;R-HSA-6794352"
R-HSA-112315,"Transmission across Chemical Synapses",70,344,0.022656918922479088,6.63136212608606E-12,3.103477475008276E-9,124,167,0.01186248046597528,9606,Homo sapiens,"6197;22999;6196;8573;1142;2900;473;1139;111;3359;476;2742;1012;5578;438;5579;1739;4128;2904;2903;6505;2902;2901;7915;5595;18;8500;3772;2562;2561;2557;1742;1740;26960;4137;3766;23229;64130;9568;6531;7102;6532;2891;3265;2770;2890;23426;373;2567;773;774;777;814;815;6804;6529;9256;5575;1175;1007;2899;782;2898;783;55799;6854;6853;109;6812;6616;170572;43","","R-HSA-888589;R-HSA-9714580;R-HSA-379393;R-HSA-379395;R-HSA-392206;R-HSA-9610653;R-HSA-210444;R-HSA-9610627;R-HSA-9619843;R-HSA-438037;R-HSA-1013020;R-HSA-975389;R-HSA-1013013;R-HSA-1013012;R-HSA-372505;R-HSA-432164;R-HSA-372519;R-HSA-432162;R-HSA-9619127;R-HSA-9619125;R-HSA-8951727;R-HSA-111913;R-HSA-111912;R-HSA-5336443;R-HSA-432172;R-HSA-111915;R-HSA-372529;R-HSA-111925;R-HSA-9610408;R-HSA-372542;R-HSA-9617326;R-HSA-9617583;R-HSA-9610195;R-HSA-416320;R-HSA-9673173;R-HSA-9649108;R-HSA-629595;R-HSA-629596;R-HSA-629599;R-HSA-420688;R-HSA-399711;R-HSA-629588;R-HSA-444007;R-HSA-442724;R-HSA-442725;R-HSA-399712;R-HSA-420975;R-HSA-442732;R-HSA-9619449;R-HSA-9610750;R-HSA-444008;R-HSA-420980;R-HSA-9619430;R-HSA-442739;R-HSA-374899;R-HSA-420977;R-HSA-374909;R-HSA-416639;R-HSA-916855;R-HSA-9714415;R-HSA-9609746;R-HSA-141186;R-HSA-9609747;R-HSA-9634834;R-HSA-9609744;R-HSA-9611030;R-HSA-421007;R-HSA-9610270;R-HSA-442760;R-HSA-374922;R-HSA-9609728;R-HSA-9609738;R-HSA-9609739;R-HSA-380574;R-HSA-9609737;R-HSA-112282;R-HSA-9609742;R-HSA-9609743;R-HSA-9609740;R-HSA-9609741;R-HSA-9610802;R-HSA-9648949;R-HSA-9612085;R-HSA-170666;R-HSA-9619515;R-HSA-9618750;R-HSA-170671;R-HSA-380586;R-HSA-170674;R-HSA-445367;R-HSA-9029434;R-HSA-9620004;R-HSA-170686;R-HSA-380869;R-HSA-975311;R-HSA-9648983;R-HSA-9619542;R-HSA-9610327;R-HSA-8856398;R-HSA-9677917;R-HSA-70609;R-HSA-451283;R-HSA-416985;R-HSA-380901;R-HSA-975340;R-HSA-500708;R-HSA-210404;R-HSA-451310;R-HSA-888548;R-HSA-451311;R-HSA-9668218;R-HSA-500717;R-HSA-451309;R-HSA-380905;R-HSA-9610879;R-HSA-379382;R-HSA-210420;R-HSA-210426;R-HSA-9611368;R-HSA-9614185;R-HSA-622325;R-HSA-210430;R-HSA-917744;R-HSA-622326"
R-HSA-4839726,"Chromatin organization",54,258,0.016992689191859315,6.616120984404006E-10,2.0642297471340498E-7,51,85,0.006037789458729933,9606,Homo sapiens,"8970;8850;6595;4297;6597;2033;22992;2670;8295;23522;23081;6907;55689;8648;79813;284058;9739;64324;23135;55250;1107;10943;1788;57634;1387;196528;9869;7403;60;29072;7468;23067;26610;51780;2048;83852;6601;79718;55904;8242;5253;7994;9611;221656;57492;5927;55870;5929;51111;23030;2894;51317;2739;10765;53615;58508","","R-HSA-5159245;R-HSA-1183128;R-HSA-5651654;R-HSA-5661123;R-HSA-5661120;R-HSA-5661121;R-HSA-5159250;R-HSA-4722133;R-HSA-5651657;R-HSA-3321883;R-HSA-5205861;R-HSA-5638141;R-HSA-3215391;R-HSA-9679787;R-HSA-3318415;R-HSA-4827383;R-HSA-4827382;R-HSA-8865605;R-HSA-4754187;R-HSA-5244692;R-HSA-3321975;R-HSA-3782655;R-HSA-3301237;R-HSA-3697008;R-HSA-5212679;R-HSA-3662335;R-HSA-4754181;R-HSA-3777129;R-HSA-3301345;R-HSA-3782637;R-HSA-5579023;R-HSA-5638157;R-HSA-5649802;R-HSA-3769447;R-HSA-5649800;R-HSA-5579018;R-HSA-5637686;R-HSA-3247569;R-HSA-3318486;R-HSA-5205799;R-HSA-3215448;R-HSA-5661116;R-HSA-5634750;R-HSA-5638333;R-HSA-5661114;R-HSA-5661115;R-HSA-3214912;R-HSA-4724284;R-HSA-5634729;R-HSA-3321805;R-HSA-4724279"
R-HSA-3247509,"Chromatin modifying enzymes",54,258,0.016992689191859315,6.616120984404006E-10,2.0642297471340498E-7,51,85,0.006037789458729933,9606,Homo sapiens,"8970;8850;6595;4297;6597;2033;22992;2670;8295;23522;23081;6907;55689;8648;79813;284058;9739;64324;23135;55250;1107;10943;1788;57634;1387;196528;9869;7403;60;29072;7468;23067;26610;51780;2048;83852;6601;79718;55904;8242;5253;7994;9611;221656;57492;5927;55870;5929;51111;23030;2894;51317;2739;10765;53615;58508","","R-HSA-5159245;R-HSA-1183128;R-HSA-5651654;R-HSA-5661123;R-HSA-5661120;R-HSA-5661121;R-HSA-5159250;R-HSA-4722133;R-HSA-5651657;R-HSA-3321883;R-HSA-5205861;R-HSA-5638141;R-HSA-3215391;R-HSA-9679787;R-HSA-3318415;R-HSA-4827383;R-HSA-4827382;R-HSA-8865605;R-HSA-4754187;R-HSA-5244692;R-HSA-3321975;R-HSA-3782655;R-HSA-3301237;R-HSA-3697008;R-HSA-5212679;R-HSA-3662335;R-HSA-4754181;R-HSA-3777129;R-HSA-3301345;R-HSA-3782637;R-HSA-5579023;R-HSA-5638157;R-HSA-5649802;R-HSA-3769447;R-HSA-5649800;R-HSA-5579018;R-HSA-5637686;R-HSA-3247569;R-HSA-3318486;R-HSA-5205799;R-HSA-3215448;R-HSA-5661116;R-HSA-5634750;R-HSA-5638333;R-HSA-5661114;R-HSA-5661115;R-HSA-3214912;R-HSA-4724284;R-HSA-5634729;R-HSA-3321805;R-HSA-4724279"
R-HSA-422475,"Axon guidance",89,585,0.03852993479549496,1.9391820704761642E-8,5.177616128171358E-6,209,298,0.02116777951413553,9606,Homo sapiens,"6197;6196;5781;4650;7204;23001;5062;26470;1457;1499;284217;5578;1739;2904;2902;1977;3912;9037;8861;3690;5595;6323;23332;2041;287;288;1501;1742;1981;27255;6711;5788;4897;60;9901;8218;1826;1746;5364;6134;6453;27;6335;7225;6334;116986;2055;3265;65109;6092;490;491;26019;4628;5718;2887;2444;2048;1630;776;2047;1793;6326;137970;8828;51107;6329;4627;6383;91584;8128;1809;1175;26986;5290;2260;1524;782;585;1523;783;1808;8912;8913;3785;3786;55558;8911;4756;5649","","R-HSA-525833;R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-3928617;R-HSA-3928616;R-HSA-3928623;R-HSA-3928610;R-HSA-3928608;R-HSA-3928615;R-HSA-3928614;R-HSA-3928612;R-HSA-3928602;R-HSA-3928601;R-HSA-3928600;R-HSA-3928607;R-HSA-418850;R-HSA-3928604;R-HSA-3928595;R-HSA-392749;R-HSA-392748;R-HSA-418863;R-HSA-3928594;R-HSA-392751;R-HSA-3928592;R-HSA-418858;R-HSA-418859;R-HSA-3928598;R-HSA-3928597;R-HSA-418856;R-HSA-447030;R-HSA-422454;R-HSA-555065;R-HSA-418868;R-HSA-3928584;R-HSA-3928591;R-HSA-418866;R-HSA-392752;R-HSA-418865;R-HSA-3928588;R-HSA-399934;R-HSA-3928578;R-HSA-399935;R-HSA-3928577;R-HSA-399933;R-HSA-3928583;R-HSA-418874;R-HSA-399930;R-HSA-399931;R-HSA-418872;R-HSA-399928;R-HSA-3928580;R-HSA-399942;R-HSA-8855237;R-HSA-399941;R-HSA-8855747;R-HSA-399939;R-HSA-8855232;R-HSA-399951;R-HSA-399946;R-HSA-399947;R-HSA-399944;R-HSA-8985799;R-HSA-399952;R-HSA-9010898;R-HSA-8855259;R-HSA-8985812;R-HSA-8853734;R-HSA-198756;R-HSA-3928657;R-HSA-3928656;R-HSA-8853737;R-HSA-3928660;R-HSA-3928651;R-HSA-3928648;R-HSA-3928654;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-8853755;R-HSA-3928646;R-HSA-3928645;R-HSA-8853753;R-HSA-3928644;R-HSA-445071;R-HSA-8855564;R-HSA-445067;R-HSA-445079;R-HSA-9011224;R-HSA-445076;R-HSA-445077;R-HSA-9014812;R-HSA-9011241;R-HSA-445089;R-HSA-391868;R-HSA-391871;R-HSA-9014834;R-HSA-391865;R-HSA-391866;R-HSA-8855617;R-HSA-549060;R-HSA-419033;R-HSA-9011313;R-HSA-199935;R-HSA-593672;R-HSA-419087;R-HSA-593690;R-HSA-451347;R-HSA-451345;R-HSA-622357;R-HSA-593685;R-HSA-451366;R-HSA-400677;R-HSA-416546;R-HSA-109860;R-HSA-416559;R-HSA-400682;R-HSA-416562;R-HSA-419646;R-HSA-376126;R-HSA-376123;R-HSA-376122;R-HSA-622390;R-HSA-8854981;R-HSA-376134;R-HSA-8854466;R-HSA-376141;R-HSA-416588;R-HSA-9010648;R-HSA-8855508;R-HSA-428885;R-HSA-416594;R-HSA-376145;R-HSA-428883;R-HSA-9010641;R-HSA-9010643;R-HSA-9010645;R-HSA-428888;R-HSA-9010646;R-HSA-375149;R-HSA-375144;R-HSA-9010681;R-HSA-392053;R-HSA-392054;R-HSA-8985594;R-HSA-392051;R-HSA-419197;R-HSA-8985591;R-HSA-443782;R-HSA-443783;R-HSA-374663;R-HSA-443778;R-HSA-443779;R-HSA-8853762;R-HSA-8853774;R-HSA-374665;R-HSA-374667;R-HSA-374675;R-HSA-374686;R-HSA-4093342;R-HSA-374692;R-HSA-374689;R-HSA-4093339;R-HSA-4093336;R-HSA-8853793;R-HSA-8853792;R-HSA-374701;R-HSA-4093332;R-HSA-4093330;R-HSA-374696;R-HSA-4093331;R-HSA-8853801;R-HSA-4093329;R-HSA-443817;R-HSA-4093327;R-HSA-8871227;R-HSA-416698;R-HSA-373711;R-HSA-373707;R-HSA-373716;R-HSA-9010523;R-HSA-373713;R-HSA-416723;R-HSA-373715;R-HSA-428510;R-HSA-9014610;R-HSA-373720;R-HSA-9010539;R-HSA-9010541;R-HSA-373730;R-HSA-437230;R-HSA-8855915;R-HSA-373736;R-HSA-373739;R-HSA-373751;R-HSA-373750;R-HSA-428533;R-HSA-8854899;R-HSA-9014652;R-HSA-428531;R-HSA-8854897;R-HSA-373746;R-HSA-8854908;R-HSA-8854905"
R-HSA-373760,"L1CAM interactions",32,130,0.008562207732332214,6.110509076506787E-8,1.4298591239025882E-5,27,54,0.003835772126722546,9606,Homo sapiens,"6197;6196;6335;6334;23001;26470;1457;284217;2444;2048;6326;1739;8828;6329;3912;3690;5595;6323;1175;2260;287;1524;288;585;1523;1742;27255;1808;6711;3785;3786;4897;60","","R-HSA-443782;R-HSA-443783;R-HSA-376134;R-HSA-443778;R-HSA-443779;R-HSA-445071;R-HSA-549060;R-HSA-445067;R-HSA-445079;R-HSA-445076;R-HSA-445077;R-HSA-374675;R-HSA-374686;R-HSA-109860;R-HSA-445089;R-HSA-373730;R-HSA-392749;R-HSA-437230;R-HSA-392748;R-HSA-392751;R-HSA-373736;R-HSA-374696;R-HSA-373739;R-HSA-443817;R-HSA-447030;R-HSA-555065;R-HSA-392752"
R-HSA-9675108,"Nervous system development",91,621,0.04090100770598696,7.096986509580461E-8,1.4761731939927358E-5,217,324,0.023014632760335274,9606,Homo sapiens,"6197;6196;5781;6597;4650;7204;23001;5062;26470;1457;1499;284217;5578;1739;2904;2902;1977;3912;9037;8861;3690;5595;6323;23332;2041;287;288;1501;1742;1981;27255;6711;5788;4897;60;9901;8218;1826;1746;23229;5364;6134;6453;27;6335;7225;6334;116986;2055;3265;65109;6092;490;491;26019;4628;5718;2887;2444;2048;1630;776;2047;1793;6326;137970;8828;51107;6329;4627;6383;91584;8128;1809;1175;26986;5290;2260;1524;782;585;1523;783;1808;8912;8913;3785;3786;55558;8911;4756;5649","","R-HSA-525833;R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-3928617;R-HSA-3928616;R-HSA-3928623;R-HSA-3928610;R-HSA-3928608;R-HSA-3928615;R-HSA-3928614;R-HSA-3928612;R-HSA-3928602;R-HSA-3928601;R-HSA-3928600;R-HSA-3928607;R-HSA-418850;R-HSA-3928604;R-HSA-3928595;R-HSA-392749;R-HSA-392748;R-HSA-418863;R-HSA-3928594;R-HSA-392751;R-HSA-3928592;R-HSA-418858;R-HSA-418859;R-HSA-3928598;R-HSA-3928597;R-HSA-418856;R-HSA-447030;R-HSA-422454;R-HSA-555065;R-HSA-418868;R-HSA-3928584;R-HSA-3928591;R-HSA-418866;R-HSA-392752;R-HSA-418865;R-HSA-3928588;R-HSA-399934;R-HSA-3928578;R-HSA-399935;R-HSA-3928577;R-HSA-399933;R-HSA-3928583;R-HSA-418874;R-HSA-399930;R-HSA-399931;R-HSA-418872;R-HSA-399928;R-HSA-3928580;R-HSA-9619666;R-HSA-399942;R-HSA-8855237;R-HSA-399941;R-HSA-8855747;R-HSA-399939;R-HSA-9619668;R-HSA-8855232;R-HSA-399951;R-HSA-399946;R-HSA-399947;R-HSA-399944;R-HSA-8985799;R-HSA-399952;R-HSA-9010898;R-HSA-8855259;R-HSA-8985812;R-HSA-8853734;R-HSA-198756;R-HSA-3928657;R-HSA-3928656;R-HSA-8853737;R-HSA-3928660;R-HSA-3928651;R-HSA-3928648;R-HSA-3928654;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-8853755;R-HSA-3928646;R-HSA-3928645;R-HSA-8853753;R-HSA-3928644;R-HSA-445071;R-HSA-8855564;R-HSA-445067;R-HSA-445079;R-HSA-9011224;R-HSA-445076;R-HSA-445077;R-HSA-9014812;R-HSA-9011241;R-HSA-445089;R-HSA-391868;R-HSA-391871;R-HSA-9014834;R-HSA-391865;R-HSA-391866;R-HSA-8855617;R-HSA-549060;R-HSA-419033;R-HSA-9618559;R-HSA-9011313;R-HSA-199935;R-HSA-593672;R-HSA-419087;R-HSA-593690;R-HSA-451347;R-HSA-451345;R-HSA-622357;R-HSA-593685;R-HSA-451366;R-HSA-400677;R-HSA-416546;R-HSA-109860;R-HSA-416559;R-HSA-400682;R-HSA-416562;R-HSA-419646;R-HSA-376126;R-HSA-376123;R-HSA-376122;R-HSA-622390;R-HSA-8854981;R-HSA-376134;R-HSA-8854466;R-HSA-376141;R-HSA-416588;R-HSA-9614787;R-HSA-9010648;R-HSA-8855508;R-HSA-428885;R-HSA-9614790;R-HSA-416594;R-HSA-376145;R-HSA-428883;R-HSA-9010641;R-HSA-9010643;R-HSA-9010645;R-HSA-428888;R-HSA-9010646;R-HSA-375149;R-HSA-375144;R-HSA-9010681;R-HSA-392053;R-HSA-392054;R-HSA-8985594;R-HSA-392051;R-HSA-419197;R-HSA-8985591;R-HSA-443782;R-HSA-443783;R-HSA-374663;R-HSA-443778;R-HSA-443779;R-HSA-8853762;R-HSA-8853774;R-HSA-374665;R-HSA-374667;R-HSA-374675;R-HSA-9615626;R-HSA-374686;R-HSA-4093342;R-HSA-374692;R-HSA-374689;R-HSA-4093339;R-HSA-4093336;R-HSA-8853793;R-HSA-8853792;R-HSA-374701;R-HSA-4093332;R-HSA-4093330;R-HSA-374696;R-HSA-4093331;R-HSA-8853801;R-HSA-4093329;R-HSA-443817;R-HSA-4093327;R-HSA-8871227;R-HSA-416698;R-HSA-9613648;R-HSA-373711;R-HSA-373707;R-HSA-373716;R-HSA-9010523;R-HSA-373713;R-HSA-416723;R-HSA-373715;R-HSA-428510;R-HSA-9014610;R-HSA-373720;R-HSA-9613644;R-HSA-9010539;R-HSA-9010541;R-HSA-373730;R-HSA-437230;R-HSA-8855915;R-HSA-373736;R-HSA-373739;R-HSA-373751;R-HSA-373750;R-HSA-428533;R-HSA-8854899;R-HSA-9014652;R-HSA-428531;R-HSA-8854897;R-HSA-373746;R-HSA-8854908;R-HSA-8854905"
