Pathway identifier,Pathway name,Entities found,Entities total,Entities ratio,Entities pValue,Entities FDR,Reactions found,Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-3247509,"Chromatin modifying enzymes",29,258,0.016992689191859315,9.992007221626409E-15,5.4356519285647664E-12,32,85,0.006037789458729933,9606,Homo sapiens,"6595;4297;6597;2033;2670;51780;8648;6601;79813;284058;79718;55904;9739;8242;5253;64324;23135;57492;1107;10943;1788;55870;51111;1387;60;51317;10765;29072;58508","","R-HSA-8865605;R-HSA-4754187;R-HSA-5159245;R-HSA-5244692;R-HSA-3321975;R-HSA-3697008;R-HSA-5212679;R-HSA-3662335;R-HSA-4754181;R-HSA-5651654;R-HSA-3777129;R-HSA-5661123;R-HSA-5661121;R-HSA-5638157;R-HSA-3769447;R-HSA-5651657;R-HSA-5579018;R-HSA-5637686;R-HSA-5205799;R-HSA-3215448;R-HSA-3321883;R-HSA-5205861;R-HSA-5661116;R-HSA-5634750;R-HSA-5638141;R-HSA-5661115;R-HSA-3214912;R-HSA-4724284;R-HSA-9679787;R-HSA-5634729;R-HSA-4827383;R-HSA-3321805"
R-HSA-4839726,"Chromatin organization",29,258,0.016992689191859315,9.992007221626409E-15,5.4356519285647664E-12,32,85,0.006037789458729933,9606,Homo sapiens,"6595;4297;6597;2033;2670;51780;8648;6601;79813;284058;79718;55904;9739;8242;5253;64324;23135;57492;1107;10943;1788;55870;51111;1387;60;51317;10765;29072;58508","","R-HSA-8865605;R-HSA-4754187;R-HSA-5159245;R-HSA-5244692;R-HSA-3321975;R-HSA-3697008;R-HSA-5212679;R-HSA-3662335;R-HSA-4754181;R-HSA-5651654;R-HSA-3777129;R-HSA-5661123;R-HSA-5661121;R-HSA-5638157;R-HSA-3769447;R-HSA-5651657;R-HSA-5579018;R-HSA-5637686;R-HSA-5205799;R-HSA-3215448;R-HSA-3321883;R-HSA-5205861;R-HSA-5661116;R-HSA-5634750;R-HSA-5638141;R-HSA-5661115;R-HSA-3214912;R-HSA-4724284;R-HSA-9679787;R-HSA-5634729;R-HSA-4827383;R-HSA-3321805"
R-HSA-6794361,"Neurexins and neuroligins",16,60,0.003951788184153329,4.18554080283684E-14,1.519351311429773E-11,17,19,0.001349623526069044,9606,Homo sapiens,"9378;8573;9379;9369;22941;57502;1742;54413;57555;6812;2904;2903;2902","","R-HSA-6794338;R-HSA-6797568;R-HSA-6794336;R-HSA-6794351;R-HSA-6794349;R-HSA-6794348;R-HSA-6794346;R-HSA-6794345;R-HSA-6794344;R-HSA-6797974;R-HSA-6794357;R-HSA-6794356;R-HSA-6794354;R-HSA-6797554;R-HSA-6797553;R-HSA-6794353;R-HSA-6794352"
R-HSA-112316,"Neuronal System",37,490,0.03227293683725219,3.184119634624949E-13,8.660805406179861E-11,97,221,0.015698252592697828,9606,Homo sapiens,"23229;22999;8573;9369;3265;2891;2770;373;473;57502;773;54413;777;2904;2903;2902;6529;7915;9378;9379;2562;1175;2561;22941;1742;55799;26960;57555;546;6853;6812;3786;3745","","R-HSA-888589;R-HSA-6794338;R-HSA-6794336;R-HSA-6794351;R-HSA-6794349;R-HSA-392206;R-HSA-6794348;R-HSA-6794346;R-HSA-6794345;R-HSA-9610653;R-HSA-6794344;R-HSA-9610627;R-HSA-6794357;R-HSA-438037;R-HSA-6794356;R-HSA-6794354;R-HSA-6794353;R-HSA-6794352;R-HSA-372505;R-HSA-432164;R-HSA-432162;R-HSA-5336443;R-HSA-432172;R-HSA-372529;R-HSA-9610408;R-HSA-9617326;R-HSA-9610195;R-HSA-416320;R-HSA-9673173;R-HSA-9649108;R-HSA-8849878;R-HSA-629595;R-HSA-629596;R-HSA-629599;R-HSA-399711;R-HSA-8849881;R-HSA-444007;R-HSA-8849891;R-HSA-6797568;R-HSA-420975;R-HSA-442732;R-HSA-9610750;R-HSA-8849906;R-HSA-374899;R-HSA-416639;R-HSA-9609746;R-HSA-9609747;R-HSA-9609744;R-HSA-9611030;R-HSA-421007;R-HSA-9610270;R-HSA-442760;R-HSA-374922;R-HSA-9609728;R-HSA-6797554;R-HSA-6797553;R-HSA-9609738;R-HSA-9609739;R-HSA-380574;R-HSA-9609737;R-HSA-9609742;R-HSA-9609743;R-HSA-9609740;R-HSA-9609741;R-HSA-9610802;R-HSA-9648949;R-HSA-9612085;R-HSA-170666;R-HSA-9618750;R-HSA-170671;R-HSA-170674;R-HSA-445367;R-HSA-170686;R-HSA-380869;R-HSA-975311;R-HSA-9648983;R-HSA-9610327;R-HSA-8856398;R-HSA-70609;R-HSA-451283;R-HSA-416985;R-HSA-380901;R-HSA-975340;R-HSA-888548;R-HSA-451311;R-HSA-9668218;R-HSA-1296127;R-HSA-380905;R-HSA-9610879;R-HSA-6797974;R-HSA-210420;R-HSA-210426;R-HSA-9611368;R-HSA-9614185;R-HSA-210430;R-HSA-917744;R-HSA-622326"
R-HSA-6794362,"Protein-protein interactions at synapses",16,93,0.0061252716854376605,2.7380875344817923E-11,5.941649949825489E-9,21,33,0.002344082966330445,9606,Homo sapiens,"9378;8573;9379;9369;22941;57502;1742;54413;57555;6812;2904;2903;2902","","R-HSA-8849891;R-HSA-6794338;R-HSA-6797568;R-HSA-6794336;R-HSA-6794351;R-HSA-6794349;R-HSA-6794348;R-HSA-6794346;R-HSA-6794345;R-HSA-6794344;R-HSA-8849878;R-HSA-6797974;R-HSA-6794357;R-HSA-6794356;R-HSA-8849906;R-HSA-6794354;R-HSA-6797554;R-HSA-6797553;R-HSA-6794353;R-HSA-6794352;R-HSA-8849881"
R-HSA-112315,"Transmission across Chemical Synapses",24,344,0.022656918922479088,2.5840635964335945E-8,4.677155109544806E-6,75,167,0.01186248046597528,9606,Homo sapiens,"23229;22999;8573;2562;3265;2891;2770;1175;2561;373;473;1742;773;55799;26960;777;6853;6812;2904;2903;2902;6529;7915","","R-HSA-9609746;R-HSA-888589;R-HSA-9609747;R-HSA-9609744;R-HSA-9611030;R-HSA-421007;R-HSA-392206;R-HSA-9610270;R-HSA-442760;R-HSA-9610653;R-HSA-374922;R-HSA-9610627;R-HSA-9609728;R-HSA-438037;R-HSA-9609738;R-HSA-9609739;R-HSA-380574;R-HSA-9609737;R-HSA-9609742;R-HSA-372505;R-HSA-9609743;R-HSA-9609740;R-HSA-9609741;R-HSA-9610802;R-HSA-432164;R-HSA-432162;R-HSA-9648949;R-HSA-9612085;R-HSA-170666;R-HSA-5336443;R-HSA-432172;R-HSA-9618750;R-HSA-170671;R-HSA-170674;R-HSA-445367;R-HSA-372529;R-HSA-9610408;R-HSA-9617326;R-HSA-170686;R-HSA-380869;R-HSA-9610195;R-HSA-975311;R-HSA-9648983;R-HSA-9610327;R-HSA-416320;R-HSA-9673173;R-HSA-9649108;R-HSA-8856398;R-HSA-70609;R-HSA-629595;R-HSA-451283;R-HSA-629596;R-HSA-629599;R-HSA-399711;R-HSA-416985;R-HSA-380901;R-HSA-444007;R-HSA-975340;R-HSA-888548;R-HSA-451311;R-HSA-420975;R-HSA-9668218;R-HSA-442732;R-HSA-9610750;R-HSA-380905;R-HSA-9610879;R-HSA-374899;R-HSA-210420;R-HSA-416639;R-HSA-210426;R-HSA-9611368;R-HSA-9614185;R-HSA-210430;R-HSA-917744;R-HSA-622326"
R-HSA-3214841,"PKMTs methylate histone lysines",9,51,0.00335901995653033,5.143539880680947E-7,7.972486815055468E-5,10,22,0.0015627219775536298,9606,Homo sapiens,"55870;4297;51111;64324;79813;55904;9739;29072;58508","","R-HSA-5637686;R-HSA-5651654;R-HSA-5159245;R-HSA-5244692;R-HSA-5638157;R-HSA-5634750;R-HSA-5638141;R-HSA-5634729;R-HSA-4827383;R-HSA-5651657"
R-HSA-373760,"L1CAM interactions",13,130,0.008562207732332214,9.88546717040073E-7,1.3444235351744993E-4,19,54,0.003835772126722546,9606,Homo sapiens,"287;1457;288;1742;6334;6323;1808;23001;6326;1175;60;3786","","R-HSA-443783;R-HSA-376134;R-HSA-443778;R-HSA-443779;R-HSA-445089;R-HSA-392749;R-HSA-437230;R-HSA-445071;R-HSA-392748;R-HSA-392751;R-HSA-373736;R-HSA-374696;R-HSA-373739;R-HSA-445079;R-HSA-555065;R-HSA-445076;R-HSA-445077;R-HSA-392752;R-HSA-374675"
R-HSA-445095,"Interaction between L1 and Ankyrins",7,33,0.0021734835012843312,2.9413390234545034E-6,3.559020218379949E-4,4,4,2.841312686461145E-4,9606,Homo sapiens,"287;288;6334;6323;6326;3786;60","","R-HSA-445076;R-HSA-374675;R-HSA-392751;R-HSA-373739"
R-HSA-8878171,"Transcriptional regulation by RUNX1",17,261,0.017190278601066984,7.201071072882037E-6,7.7771567587126E-4,41,132,0.00937633186532178,9606,Homo sapiens,"8861;6595;5781;4297;6597;5079;2033;25942;57492;5718;1457;26053;1387;6601;55904;9739;58508","","R-HSA-8936584;R-HSA-8937097;R-HSA-8938251;R-HSA-8937037;R-HSA-8956608;R-HSA-8937989;R-HSA-8865482;R-HSA-8938951;R-HSA-8956568;R-HSA-8937113;R-HSA-8937050;R-HSA-8865491;R-HSA-8936989;R-HSA-8937118;R-HSA-8937744;R-HSA-8957265;R-HSA-8936979;R-HSA-8865498;R-HSA-8938965;R-HSA-8936599;R-HSA-8936616;R-HSA-8938217;R-HSA-8956586;R-HSA-8938987;R-HSA-8936621;R-HSA-8878050;R-HSA-8865505;R-HSA-8936608;R-HSA-8936481;R-HSA-8936995;R-HSA-8878056;R-HSA-8937767;R-HSA-8937016;R-HSA-8935740;R-HSA-8937022;R-HSA-8935730;R-HSA-8935731;R-HSA-8938228;R-HSA-8936628;R-HSA-8935732;R-HSA-8938231"
